Arquivo,Tela,ID,Nome,Descrição,Pré-condições,Resultado na tela,Como testar
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DEV-005,Texto informativo,Origem dos dados.,Página aberta.,Copy informa a fonte do catálogo de jogos e que rolar carrega mais títulos.,Ler subtítulo.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DEV-006,Grid de jogos,Cards na página.,Jogos listados.,Cada jogo é card padrão com ações de lista/favorito.,Favoritar jogo da grid.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DEV-007,Entrada pelo modal,Link no detalhe do jogo.,Modal de jogo aberto.,Link da desenvolvedora leva a esta página.,Jogo → link dev → validar URL.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DUB-001,Carregar créditos,Página do dublador.,ID válido.,"Nome, foto e obras dubladas.",Dublador conhecido PT-BR.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DUB-002,Rótulo de idioma,Contexto da carreira.,Metadado de idioma.,Português → “Dublagem em português”; japonês → “Voz original”; outro → texto genérico.,Comparar dublador BR vs seiyuu.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DUB-003,Tipos na filmografia,Obras dubladas.,Créditos variados.,"Pode incluir filme, série, anime e jogo com rótulo de tipo.",Grid com anime e filme.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DUB-004,Personagem no card,Papel dublado.,Crédito com personagem.,Nome do personagem no card/poster.,Card “como {personagem}”.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DUB-005,Abrir detalhe,Clique na obra.,Item na grid.,"Modal abre para o tipo correto (filme, série, anime, jogo).",Clicar anime dublado.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DUB-006,Voltar para busca,Contexto de busca.,Veio da overlay de busca.,Voltar reabre busca; **não** reabre modal de filme como na página pessoa.,Busca → dublador → voltar.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-EVT-001,Ano padrão,Seletor no topo.,Página aberta.,Ano atual selecionado; opções = ano atual e cinco anteriores.,Abrir eventos em setembro/2026.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-EVT-002,Carregar resumo,Troca de ano.,Ano escolhido.,Lista de eventos do ano; erro → estado de falha sem dados.,Trocar ano; simular erro.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-EVT-003,Só eventos com jogos,Relevância.,Ano com eventos vazios e cheios.,Evento só aparece se tiver pelo menos um jogo associado.,Ano com evento “sem jogos” oculto.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-EVT-004,Contador,Badge no cabeçalho da lista.,Ano com eventos relevantes.,Número de eventos exibidos naquele ano.,Contar cards vs badge.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-EVT-005,Loading e erro,Estados intermediários.,Rede lenta ou falha.,Esqueletos durante carga; mensagem/CTA em falha.,Throttle e offline.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-EVT-006,Ano vazio,Nenhum evento relevante.,Ano sem jogos em eventos.,Sugestão para escolher outro ano.,Selecionar ano antigo vazio.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-EVT-007,Jogos por evento,Card de evento.,Evento com jogos.,Cada evento mostra jogos em cards com interações do usuário.,Expandir/rolar evento E3 etc.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-001,Conteúdo na primeira abertura,"A listagem e as opções de filtro já vêm preparadas quando a página abre, sem precisar clicar em nada.",Site acessível; catálogo com filmes.,"Ao entrar em Filmes, cards e menus de filtro aparecem (ou estado vazio amigável se não houver dados).",Abrir a página Filmes em aba nova; observar grade e selects antes de interagir.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-002,Atualização gradual do catálogo,"Mudanças no catálogo podem levar alguns minutos para aparecer na página após uma atualização em massa, mesmo sem o usuário fazer nada.",Catálogo alterado recentemente no ambiente de teste.,"Após aguardar alguns minutos e recarregar Filmes, novos títulos ou datas podem surgir.",Registrar um filme de teste; aguardar ~5 min; recarregar Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-003,Falha no carregamento inicial,"Se a listagem não puder ser montada no primeiro momento, a página continua utilizável.",Simular indisponibilidade temporária do catálogo na abertura.,Página abre sem erro do navegador; grade vazia; filtros sem opções ou vazios; mensagem de “nenhum filme” se aplicável.,Ambiente com catálogo indisponível no primeiro acesso.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-004,Texto do cabeçalho,Título e subtítulo da área são fixos.,Usuário na página Filmes.,"Título **Filmes** e texto sobre cartaz, lançamentos e clássicos no topo.",Ler o cabeçalho da página.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-005,Gaveta O que vem aí,"Bloco horizontal de estreias futuras de filme, acima dos filtros.",Resumo de eventos do site inclui filmes em **próximos lançamentos**.,Seção colapsável **O que vem aí** com carrossel horizontal de cards de filme.,Ambiente com lançamentos futuros; abrir Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-006,Ações nos cards da gaveta,Favoritar e demais ações do menu ⋮ funcionam igual à grade principal.,Gaveta visível; usuário logado ou visitante conforme regra do card.,Menu e estados de lista refletem na conta quando logado.,Favoritar um filme na gaveta; recarregar logado.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-007,Gaveta Em cartaz,Destaques de filmes **em cartaz** em bloco próprio.,Resumo de eventos traz filmes em **destaques recentes / em cartaz**.,Seção **Em cartaz** com ícone de claquete e carrossel horizontal.,Ambiente com destaques em cartaz; abrir Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-008,Gavetas carregam após a página,As gavetas podem aparecer um instante depois do restante da página.,Página Filmes recém-aberta.,Primeiro aparecem filtros e grade; em seguida as gavetas (se houver conteúdo).,Abrir Filmes e observar ordem de aparecimento dos blocos.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-009,Atalho Todos os Filmes,Restaura a listagem geral sem curadoria de atalho.,Qualquer outro atalho ativo.,Botão **Todos os Filmes** destacado; grade ampla (ordenada por título).,Clicar **Todos os Filmes**.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-010,Atalho Em Cartaz,Mostra só filmes marcados como em cartaz.,Catálogo com filmes em cartaz e outros.,Grade restrita a títulos em cartaz; contador atualizado.,Clicar **Em Cartaz**; conferir etiquetas nos cards.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-011,Atalho Em Breve,Mostra só estreias futuras curadas como “em breve”.,Filmes em breve e já lançados no catálogo.,Só filmes em breve na grade.,Clicar **Em Breve**.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-012,Atalho Populares,Reordena por popularidade (não alfabético).,Vários filmes com popularidade distinta.,Ordem diferente de **Todos**; títulos mais populares no topo.,Alternar **Todos** e **Populares** e comparar ordem.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-013,Destaque visual do atalho,Só um atalho aparece como selecionado.,Dois ou mais atalhos disponíveis.,Botão ativo com cor primária; demais em fundo neutro.,Clicar cada atalho e observar estilo.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-014,Gênero “Todos”,Não restringe por gênero.,Select em **Todos os Gêneros**.,Grade ampla dentro do atalho ativo.,Escolher todos os gêneros após filtrar um gênero específico.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-015,Nome do gênero no menu,Primeira letra do gênero aparece maiúscula no dropdown.,Lista de gêneros populada.,Ex.: “action” exibido como “Action”.,Abrir select de gênero.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-016,Ano “Todos”,Não restringe por ano de estreia.,**Todos os Anos** selecionado.,Filmes de vários anos na grade.,Resetar ano para todos.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-017,Anos no dropdown,"Anos disponíveis refletem filmes existentes no catálogo, do mais recente para o mais antigo.",Catálogo com vários anos.,Select de ano sem duplicatas; ordem decrescente.,Comparar anos do menu com filmes conhecidos.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-018,Meses em português,Janeiro a dezembro com rótulos em PT-BR.,Select de mês aberto.,Doze meses nomeados corretamente.,Abrir filtro de mês.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-019,Mês “Todos”,Não restringe por mês.,**Todos os Meses**.,Qualquer mês dentro dos demais filtros.,Selecionar todos os meses.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-020,Status traduzido,Opções de status exibem rótulo em português quando o produto conhece o status.,Select de status populado.,"Labels legíveis (ex.: lançado, em produção).",Abrir filtro de status.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-021,Filtro por plataforma,Restringe a filmes disponíveis na plataforma escolhida (streaming).,Netflix (ou outra) selecionada.,Só cards com aquela plataforma nos metadados visíveis.,Filtrar Netflix; abrir detalhe de um card.
